iter	Passed	Remaining
0	136	136429
1	138	69051
2	140	46600
3	141	35332
4	143	28550
5	145	24104
6	147	20871
7	148	18414
8	149	16505
9	150	14939
10	151	13657
11	152	12590
12	153	11687
13	154	10892
14	155	10203
15	156	9600
16	156	9072
17	157	8600
18	158	8179
19	158	7788
20	159	7437
21	160	7122
22	160	6833
23	161	6575
24	162	6337
25	163	6112
26	163	5900
27	164	5701
28	164	5516
29	165	5342
30	165	5180
31	166	5028
32	166	4885
33	167	4754
34	167	4628
35	168	4508
36	168	4395
37	169	4288
38	169	4185
39	170	4088
40	170	3996
41	171	3909
42	171	3825
43	172	3745
44	172	3668
45	173	3597
46	173	3527
47	174	3463
48	175	3402
49	175	3340
50	176	3281
51	176	3224
52	177	3169
53	177	3116
54	178	3065
55	178	3016
56	179	2969
57	179	2923
58	180	2878
59	180	2835
60	181	2793
61	181	2752
62	182	2713
63	182	2675
64	183	2639
65	183	2603
66	184	2568
67	184	2531
68	185	2500
69	185	2469
70	186	2438
71	186	2408
72	187	2378
73	187	2350
74	188	2322
75	188	2295
76	189	2269
77	189	2244
78	190	2220
79	191	2196
80	191	2173
81	192	2149
82	192	2127
83	193	2105
84	193	2081
85	193	2060
86	194	2038
87	194	2018
88	195	1998
89	195	1979
90	196	1960
91	196	1942
92	197	1924
93	197	1907
94	198	1890
95	198	1873
96	199	1857
97	200	1841
98	200	1825
99	201	1810
100	201	1795
101	201	1778
102	202	1763
103	203	1749
104	203	1735
105	204	1722
106	204	1709
107	205	1697
108	206	1684
109	206	1672
110	207	1660
111	207	1648
112	208	1636
113	209	1624
114	209	1613
115	210	1600
116	210	1590
117	211	1579
118	211	1567
119	212	1557
120	212	1546
121	213	1536
122	213	1524
123	214	1514
124	214	1504
125	215	1494
126	216	1485
127	216	1474
128	217	1466
129	217	1457
130	218	1449
131	219	1440
132	219	1431
133	220	1424
134	221	1416
135	221	1408
136	222	1400
137	222	1392
138	223	1384
139	224	1376
140	224	1368
141	225	1360
142	225	1352
143	226	1344
144	226	1337
145	227	1329
146	227	1322
147	228	1315
148	229	1308
149	229	1301
150	230	1294
151	230	1288
152	231	1281
153	232	1274
154	232	1269
155	233	1263
156	234	1256
157	234	1250
158	235	1244
159	235	1238
160	236	1232
161	237	1226
162	237	1220
163	238	1214
164	238	1208
165	239	1202
166	240	1197
167	240	1191
168	241	1186
169	241	1180
170	242	1175
171	243	1170
172	243	1165
173	244	1159
174	244	1154
175	245	1149
176	246	1144
177	246	1139
178	247	1134
179	247	1129
180	248	1123
181	248	1118
182	249	1113
183	250	1108
184	250	1105
185	251	1100
186	252	1096
187	252	1092
188	253	1087
189	254	1083
190	254	1079
191	255	1075
192	256	1071
193	256	1067
194	257	1064
195	258	1060
196	259	1056
197	259	1053
198	260	1049
199	261	1046
200	262	1042
201	263	1039
202	263	1035
203	264	1031
204	265	1028
205	265	1025
206	266	1021
207	267	1017
208	267	1014
209	268	1010
210	269	1007
211	269	1003
212	270	999
213	271	995
214	271	992
215	272	988
216	273	985
217	273	981
218	274	978
219	274	974
220	275	971
221	276	967
222	276	964
223	277	961
224	278	957
225	278	954
226	279	951
227	281	951
228	281	948
229	283	948
230	284	945
231	284	942
232	285	939
233	285	935
234	286	932
235	287	929
236	287	925
237	288	922
238	288	919
239	289	915
240	289	912
241	290	909
242	290	906
243	291	903
244	292	899
245	292	896
246	293	893
247	293	890
248	294	887
249	294	884
250	295	881
251	296	878
252	296	875
253	297	873
254	297	870
255	298	867
256	298	864
257	299	861
258	300	858
259	300	855
260	301	852
261	301	849
262	302	847
263	302	844
264	303	841
265	304	838
266	304	836
267	305	833
268	305	830
269	306	827
270	306	825
271	307	822
272	307	819
273	308	817
274	309	814
275	309	812
276	310	809
277	310	807
278	311	805
279	312	802
280	312	800
281	313	797
282	313	795
283	314	792
284	314	790
285	315	787
286	315	784
287	316	782
288	317	780
289	317	777
290	318	775
291	318	773
292	319	770
293	320	768
294	320	766
295	321	764
296	322	762
297	322	760
298	323	758
299	323	755
300	324	753
301	325	751
302	325	749
303	326	747
304	327	745
305	327	743
306	328	741
307	329	739
308	329	737
309	330	735
310	330	732
311	331	730
312	331	728
313	332	726
314	333	724
315	333	722
316	334	720
317	334	717
318	335	715
319	335	713
320	336	711
321	336	709
322	337	707
323	338	705
324	338	703
325	339	701
326	339	699
327	340	697
328	341	695
329	341	693
330	342	692
331	342	690
332	343	688
333	344	686
334	344	684
335	345	682
336	345	680
337	346	678
338	346	676
339	347	674
340	348	672
341	348	670
342	349	668
343	349	667
344	350	665
345	351	663
346	351	661
347	352	659
348	352	658
349	353	656
350	353	654
351	354	652
352	355	650
353	356	649
354	356	648
355	357	646
356	358	644
357	358	643
358	359	641
359	359	639
360	360	638
361	361	636
362	361	634
363	362	632
364	362	631
365	363	629
366	363	627
367	364	625
368	364	624
369	365	622
370	366	620
371	366	618
372	367	617
373	367	615
374	368	613
375	368	612
376	369	610
377	370	609
378	370	607
379	371	606
380	372	605
381	373	603
382	373	601
383	374	600
384	374	598
385	375	596
386	375	595
387	376	593
388	377	592
389	377	590
390	378	588
391	378	587
392	379	585
393	379	584
394	380	582
395	381	581
396	381	579
397	382	578
398	382	576
399	383	575
400	383	573
401	384	572
402	385	570
403	385	569
404	386	567
405	387	566
406	387	565
407	388	563
408	389	562
409	389	560
410	390	559
411	390	557
412	391	556
413	391	554
414	392	553
415	393	551
416	393	550
417	394	549
418	394	547
419	395	546
420	396	544
421	396	543
422	397	542
423	397	540
424	398	539
425	399	537
426	399	536
427	400	534
428	400	533
429	401	531
430	401	530
431	402	529
432	403	527
433	403	526
434	404	525
435	404	523
436	405	522
437	406	521
438	406	519
439	407	518
440	407	516
441	408	515
442	409	514
443	409	512
444	410	511
445	410	510
446	411	508
447	411	507
448	412	506
449	413	504
450	413	503
451	414	502
452	414	501
453	415	499
454	416	498
455	416	497
456	417	495
457	417	494
458	418	493
459	419	491
460	419	490
461	420	489
462	421	488
463	421	487
464	422	485
465	422	484
466	423	483
467	424	482
468	424	480
469	425	479
470	426	478
471	426	477
472	427	476
473	427	474
474	428	473
475	429	472
476	429	471
477	430	470
478	431	468
479	431	467
480	432	466
481	433	465
482	433	464
483	434	463
484	435	462
485	435	460
486	436	459
487	437	458
488	437	457
489	438	456
490	438	455
491	439	453
492	440	452
493	440	451
494	441	450
495	441	449
496	442	447
497	443	446
498	443	445
499	444	444
500	444	443
501	445	441
502	446	440
503	446	439
504	447	438
505	447	437
506	448	436
507	449	435
508	449	433
509	450	432
510	451	431
511	451	430
512	452	429
513	452	428
514	453	427
515	454	425
516	454	424
517	455	423
518	455	422
519	456	421
520	456	420
521	457	418
522	458	417
523	458	416
524	459	415
525	459	414
526	460	413
527	461	412
528	461	411
529	462	410
530	463	408
531	463	407
532	464	406
533	464	405
534	465	404
535	466	403
536	466	402
537	467	401
538	467	400
539	468	398
540	468	397
541	469	396
542	470	395
543	470	394
544	471	393
545	471	392
546	472	391
547	473	390
548	473	389
549	474	387
550	474	386
551	475	385
552	476	384
553	476	383
554	477	382
555	478	381
556	478	380
557	479	379
558	480	378
559	480	377
560	481	376
561	481	375
562	482	374
563	482	373
564	483	372
565	484	371
566	484	370
567	485	369
568	485	368
569	486	366
570	487	365
571	487	364
572	488	363
573	488	362
574	489	361
575	489	360
576	490	359
577	491	358
578	491	357
579	493	357
580	493	356
581	494	355
582	495	354
583	495	353
584	496	352
585	496	351
586	497	350
587	498	349
588	498	347
589	499	346
590	499	345
591	500	344
592	501	343
593	501	342
594	502	341
595	502	340
596	503	339
597	504	338
598	504	337
599	505	336
600	506	336
601	506	335
602	507	334
603	508	333
604	508	332
605	509	331
606	509	330
607	510	329
608	511	328
609	511	327
610	512	326
611	512	325
612	513	324
613	514	323
614	514	322
615	515	321
616	515	320
617	516	319
618	517	318
619	517	317
620	518	316
621	519	315
622	519	314
623	520	313
624	520	312
625	521	311
626	521	310
627	523	309
628	523	308
629	524	307
630	524	306
631	525	305
632	526	305
633	526	304
634	527	303
635	528	302
636	528	301
637	529	300
638	529	299
639	530	298
640	530	297
641	531	296
642	532	295
643	532	294
644	533	293
645	533	292
646	534	291
647	534	290
648	535	289
649	536	288
650	536	287
651	537	286
652	538	286
653	538	285
654	539	284
655	540	283
656	540	282
657	541	281
658	541	280
659	542	279
660	542	278
661	543	277
662	544	276
663	544	275
664	545	274
665	545	273
666	546	272
667	547	271
668	547	270
669	548	270
670	548	269
671	549	268
672	550	267
673	551	266
674	551	265
675	552	264
676	553	263
677	553	263
678	554	262
679	555	261
680	555	260
681	556	259
682	556	258
683	557	257
684	558	256
685	558	255
686	559	254
687	559	253
688	560	252
689	561	252
690	561	251
691	562	250
692	562	249
693	563	248
694	564	247
695	564	246
696	565	245
697	565	244
698	566	243
699	567	243
700	568	242
701	568	241
702	569	240
703	569	239
704	570	238
705	570	237
706	571	236
707	572	235
708	572	235
709	573	234
710	573	233
711	574	232
712	575	231
713	575	230
714	576	229
715	576	228
716	577	227
717	578	227
718	578	226
719	579	225
720	579	224
721	580	223
722	581	222
723	581	221
724	582	220
725	583	220
726	584	219
727	584	218
728	585	217
729	586	216
730	586	215
731	587	215
732	587	214
733	588	213
734	589	212
735	589	211
736	590	210
737	590	209
738	591	208
739	591	207
740	592	207
741	593	206
742	593	205
743	594	204
744	594	203
745	595	202
746	595	201
747	596	200
748	597	200
749	597	199
750	598	198
751	599	197
752	599	196
753	600	195
754	600	195
755	601	194
756	602	193
757	602	192
758	603	191
759	603	190
760	604	189
761	605	188
762	605	188
763	606	187
764	607	186
765	607	185
766	608	184
767	608	183
768	609	183
769	610	182
770	610	181
771	611	180
772	611	179
773	612	178
774	613	177
775	613	177
776	614	176
777	614	175
778	615	174
779	616	173
780	616	172
781	617	172
782	617	171
783	618	170
784	618	169
785	619	168
786	620	167
787	620	167
788	621	166
789	622	165
790	622	164
791	623	163
792	623	162
793	624	162
794	625	161
795	625	160
796	626	159
797	626	158
798	627	157
799	627	156
800	628	156
801	629	155
802	629	154
803	630	153
804	631	152
805	631	152
806	632	151
807	632	150
808	633	149
809	634	148
810	634	147
811	635	147
812	636	146
813	636	145
814	637	144
815	637	143
816	638	142
817	638	142
818	639	141
819	639	140
820	640	139
821	641	138
822	641	138
823	642	137
824	642	136
825	643	135
826	644	134
827	644	133
828	645	133
829	645	132
830	646	131
831	646	130
832	647	129
833	648	128
834	648	128
835	649	127
836	649	126
837	650	125
